timestamp,sensor_id,temperature_c,humidity_pct
2026-03-02T15:00:00,s-01,23.88,50.1
2026-03-02T15:00:00,s-02,24.18,47.7
2026-03-02T15:00:00,s-03,24.01,52.1
2026-03-02T16:00:00,s-01,23.25,48.3
2026-03-02T16:00:00,s-02,24.07,51.7
2026-03-02T16:00:00,s-03,22.06,51.0
2026-03-02T17:00:00,s-01,22.02,56.0
2026-03-02T17:00:00,s-02,21.69,46.8
2026-03-02T17:00:00,s-03,21.75,53.7
2026-03-02T18:00:00,s-01,21.75,45.1
2026-03-02T18:00:00,s-02,20.70,51.5
2026-03-02T18:00:00,s-03,21.41,51.1
2026-03-02T19:00:00,s-01,18.66,55.3
2026-03-02T19:00:00,s-02,19.16,51.5
2026-03-02T19:00:00,s-03,18.74,56.5
2026-03-02T20:00:00,s-01,17.07,55.1
2026-03-02T20:00:00,s-02,18.63,55.9
2026-03-02T20:00:00,s-03,16.31,55.6
2026-03-02T21:00:00,s-01,16.14,57.5
2026-03-02T21:00:00,s-02,17.64,57.2
2026-03-02T21:00:00,s-03,16.22,54.3
2026-03-02T22:00:00,s-01,14.92,57.6
2026-03-02T22:00:00,s-02,14.78,59.8
2026-03-02T22:00:00,s-03,14.78,56.1
2026-03-02T23:00:00,s-01,,60.3
2026-03-02T23:00:00,s-02,15.40,55.8
2026-03-02T23:00:00,s-03,12.05,63.5
2026-03-03T00:00:00,s-01,12.27,54.3
2026-03-03T00:00:00,s-02,11.89,64.5
2026-03-03T00:00:00,s-03,12.46,62.1
2026-03-03T01:00:00,s-01,12.65,61.6
2026-03-03T01:00:00,s-02,12.37,64.2
2026-03-03T01:00:00,s-03,10.75,58.2
2026-03-03T02:00:00,s-01,11.93,56.9
2026-03-03T02:00:00,s-02,13.17,57.2
2026-03-03T02:00:00,s-03,11.24,64.3
2026-03-03T03:00:00,s-01,12.19,64.3
2026-03-03T03:00:00,s-02,12.32,60.0
2026-03-03T03:00:00,s-03,12.89,56.3
2026-03-03T04:00:00,s-01,12.35,62.2
2026-03-03T04:00:00,s-02,12.05,60.6
2026-03-03T04:00:00,s-03,13.85,59.3
2026-03-03T05:00:00,s-01,14.62,58.7
2026-03-03T05:00:00,s-02,14.47,63.3
2026-03-03T05:00:00,s-03,14.67,58.5
2026-03-03T06:00:00,s-01,16.83,51.0
2026-03-03T06:00:00,s-02,16.64,55.6
2026-03-03T06:00:00,s-03,14.66,59.2
2026-03-03T07:00:00,s-01,15.29,59.4
2026-03-03T07:00:00,s-02,15.47,57.7
2026-03-03T07:00:00,s-03,148.00,60.0
2026-03-03T08:00:00,s-01,17.90,49.0
2026-03-03T08:00:00,s-02,18.05,53.3
2026-03-03T08:00:00,s-03,17.71,50.0
2026-03-03T09:00:00,s-01,20.01,52.1
2026-03-03T09:00:00,s-02,18.64,56.0
2026-03-03T09:00:00,s-03,19.39,57.9
2026-03-03T10:00:00,s-01,19.55,54.2
2026-03-03T10:00:00,s-02,21.46,59.1
2026-03-03T10:00:00,s-03,22.05,54.3
2026-03-03T11:00:00,s-01,22.85,53.8
2026-03-03T11:00:00,s-02,22.11,52.3
2026-03-03T11:00:00,s-03,21.96,53.4
2026-03-03T12:00:00,s-01,24.21,52.8
2026-03-03T12:00:00,s-02,22.69,51.0
2026-03-03T12:00:00,s-03,24.00,49.4
2026-03-03T13:00:00,s-01,24.90,49.6
2026-03-03T13:00:00,s-02,23.27,49.3
2026-03-03T13:00:00,s-03,23.22,49.6
2026-03-03T14:00:00,s-01,23.74,50.2
2026-03-03T14:00:00,s-02,23.19,44.8
2026-03-03T14:00:00,s-03,24.10,47.2
2026-03-03T15:00:00,s-01,24.11,51.0
2026-03-03T15:00:00,s-02,25.36,51.0
2026-03-03T15:00:00,s-03,24.41,46.2
2026-03-03T16:00:00,s-01,21.67,52.3
2026-03-03T16:00:00,s-02,23.49,45.2
2026-03-03T16:00:00,s-03,22.95,44.9
2026-03-03T17:00:00,s-01,22.06,55.6
2026-03-03T17:00:00,s-02,21.85,57.2
2026-03-03T17:00:00,s-03,22.00,46.8
2026-03-03T18:00:00,s-01,19.95,54.9
2026-03-03T18:00:00,s-02,21.12,51.9
2026-03-03T18:00:00,s-03,19.20,52.5
2026-03-03T19:00:00,s-01,20.38,51.8
2026-03-03T19:00:00,s-02,18.47,54.2
2026-03-03T19:00:00,s-03,19.28,56.1
2026-03-03T20:00:00,s-01,17.79,55.6
2026-03-03T20:00:00,s-02,18.27,51.0
2026-03-03T20:00:00,s-03,18.72,53.0
2026-03-03T21:00:00,s-01,15.54,57.9
2026-03-03T21:00:00,s-02,15.98,55.9
2026-03-03T21:00:00,s-03,16.43,57.6
2026-03-03T22:00:00,s-01,15.82,56.8
2026-03-03T22:00:00,s-02,14.79,62.2
2026-03-03T22:00:00,s-03,15.64,57.1
2026-03-03T23:00:00,s-01,15.47,57.7
2026-03-03T23:00:00,s-02,13.99,56.6
2026-03-03T23:00:00,s-03,14.23,56.4
2026-03-04T00:00:00,s-01,12.34,59.3
2026-03-04T00:00:00,s-02,13.96,56.9
2026-03-04T00:00:00,s-03,12.54,56.4
2026-03-04T01:00:00,s-01,12.73,62.1
2026-03-04T01:00:00,s-02,11.35,62.5
2026-03-04T01:00:00,s-03,12.13,55.6
2026-03-04T02:00:00,s-01,13.09,60.8
2026-03-04T02:00:00,s-02,12.29,58.6
2026-03-04T02:00:00,s-03,11.82,56.7
2026-03-04T03:00:00,s-01,10.71,65.9
2026-03-04T03:00:00,s-02,12.35,60.4
2026-03-04T03:00:00,s-03,12.01,57.5
2026-03-04T04:00:00,s-01,12.23,59.4
2026-03-04T04:00:00,s-02,13.36,57.5
2026-03-04T04:00:00,s-03,12.75,64.3
2026-03-04T05:00:00,s-01,13.68,61.7
2026-03-04T05:00:00,s-02,13.54,55.1
2026-03-04T05:00:00,s-03,13.02,57.5
2026-03-04T06:00:00,s-01,15.20,55.4
2026-03-04T06:00:00,s-02,14.58,59.7
2026-03-04T06:00:00,s-03,13.43,61.2
2026-03-04T07:00:00,s-01,16.72,55.9
2026-03-04T07:00:00,s-02,15.31,57.4
2026-03-04T07:00:00,s-03,16.71,59.2
