property_id,area_sqm,bedrooms,age_years,distance_km,price_thousands
p055,209.5,3,23,15.01,652.8
p056,66.0,5,11,8.30,313.6
p057,123.2,4,56,0.94,387.9
p058,78.5,2,2,7.86,311.4
p059,47.9,1,19,4.71,163.0
p060,132.9,2,18,13.20,430.2
p061,152.3,5,44,10.28,532.8
p062,199.3,2,51,13.45,623.8
p063,208.1,3,46,11.94,649.3
p064,180.8,3,53,8.04,570.4
p065,84.7,3,16,14.28,299.5
p066,78.6,4,60,6.72,260.7
p067,79.9,2,31,10.19,231.9
p068,156.6,2,4,7.55,527.1
p069,94.1,4,4,2.91,413.3
p070,117.0,5,24,18.90,368.8
p071,125.9,2,53,5.95,360.3
p072,89.6,1,33,15.47,208.4
p073,106.7,3,10,21.16,344.1
p074,137.5,2,29,4.25,465.3
p075,66.0,3,37,16.70,171.9
p076,91.6,1,28,2.54,306.9
p077,131.2,5,7,15.04,431.4
p078,45.8,1,9,15.98,135.4
p079,197.7,2,1,4.94,697.2
p080,192.0,1,30,16.50,576.5
p081,93.8,5,58,7.51,284.9
p082,159.9,5,50,8.35,516.5
p083,75.8,3,55,10.15,217.2
p084,172.5,2,47,6.09,512.3
p085,168.1,2,12,10.58,558.6
p086,55.4,1,24,12.58,113.4
p087,162.9,1,31,16.82,482.4
p088,62.4,2,0,19.03,186.2
p089,115.5,2,54,3.23,367.8
p090,50.3,4,17,4.93,198.1
p091,178.9,4,41,20.44,527.1
p092,138.7,3,18,4.08,520.5
p093,109.5,4,35,19.44,318.4
p094,50.3,4,26,16.62,156.9
p095,91.3,5,40,5.50,339.2
p096,100.7,3,22,8.98,351.2
p097,76.4,5,18,16.21,251.2
p098,208.4,4,12,1.90,774.0
p099,115.0,4,14,11.48,365.7
p100,60.1,1,21,4.45,176.9
p101,190.0,3,35,5.53,624.6
p102,100.2,5,33,14.00,326.8
p103,52.4,4,44,0.88,216.6
p104,46.3,5,54,16.23,123.4
p105,46.3,5,28,10.38,196.9
p106,208.8,5,51,7.16,702.4
p107,118.6,4,54,13.18,324.2
p108,171.1,3,11,15.08,562.4
p109,149.1,3,29,20.75,455.7
p110,109.7,4,2,12.62,399.7
p111,115.8,2,1,10.87,393.7
p112,133.8,2,53,4.71,425.5
p113,94.6,5,41,15.63,338.2
p114,121.0,1,31,6.62,380.6
p115,94.3,4,56,11.44,275.2
p116,46.4,2,8,21.88,126.7
p117,56.5,4,35,7.01,184.3
p118,148.3,1,13,20.39,453.8
p119,186.2,5,52,21.37,525.2
p120,103.0,5,37,4.32,382.3
p121,126.1,1,15,17.87,376.0
p122,179.7,3,32,8.18,583.6
p123,111.7,3,38,14.16,336.0
p124,85.5,5,29,10.77,293.4
p125,146.9,5,11,16.21,504.0
p126,120.7,1,22,1.22,417.6
p127,168.2,3,31,18.30,538.7
p128,188.3,4,24,0.97,701.5
p129,45.2,3,28,3.01,172.0
p130,124.5,5,9,19.75,472.8
p131,75.5,1,18,7.26,207.2
p132,193.2,5,32,11.65,637.3
p133,159.7,2,36,12.27,462.1
p134,96.5,4,48,7.02,328.9
p135,131.3,5,17,9.55,460.0
p136,129.5,2,32,2.55,421.3
p137,86.6,5,38,0.96,314.7
p138,190.0,2,42,5.25,594.6
p139,55.3,4,15,20.65,151.7
p140,109.0,4,34,10.41,374.0
p141,164.7,5,5,3.08,624.8
p142,145.4,4,47,1.68,512.3
p143,145.1,1,29,3.04,494.9
p144,161.0,1,18,16.98,523.5
p145,155.0,3,2,19.61,515.3
p146,115.8,5,28,16.56,378.0
p147,120.7,1,46,18.21,276.3
p148,67.5,5,55,14.98,175.7
p149,66.4,4,60,18.55,128.5
p150,171.8,3,39,15.12,508.6
